scenario,vs_model,Transformer_MAE_diff_m,Transformer_RMSE_diff_m,Transformer_P90_diff_m
ideal_empty,CNN,-0.00919848498182052,-0.008603345582506972,-0.027504234306581665
ideal_empty,LightGBM,-0.048605507091754596,-0.07641714480804263,-0.09770513939412773
ideal_empty,RandomForest,-0.09608055531039428,-0.1403067055933609,-0.23556910338575054
ideal_empty,WKNN,-0.21585599257177535,-0.3036016687345242,-0.5015217511897045
ideal_empty,KNN,-0.18491661749383415,-0.26872682723254027,-0.5358874390960748
complex_dynamic,CNN,0.009530872676113855,0.0038011254799399374,-0.0030969320348015472
complex_dynamic,LightGBM,-0.05063610937479934,-0.07145056995208776,-0.17590551102144936
complex_dynamic,RandomForest,-0.10182789181308705,-0.13743935190286516,-0.25112191180806853
complex_dynamic,WKNN,-0.20018115920047252,-0.2735805891553382,-0.4370369973492556
complex_dynamic,KNN,-0.17028635780169044,-0.23167414525730878,-0.38891179804460485
