scenario,noise_ratio,model,mae_m,rmse_m,median_m,p90_m,r2_x,r2_y,train_time_s,infer_ms_per_sample,n_train,n_test
ideal_empty,0.0,KNN,2.5393756538275993,3.0003542777972805,2.2022715545545237,4.859114350305629,0.4295751752906758,0.5892253435684356,0.0033842080156318843,0.0013622523141618016,9569,4102
ideal_empty,0.0,WKNN,2.5703150289055405,3.0352291192992644,2.233974893148648,4.82474866239926,0.413951201147035,0.5818866867526107,0.0018902919837273657,0.0013201487065474073,9569,4102
ideal_empty,0.0,RandomForest,2.4505395916441595,2.871934156158101,2.151922127910778,4.558796014595305,0.4649500595760242,0.6359384155551588,0.7827166669885628,0.009424599712686854,9569,4102
ideal_empty,0.0,LightGBM,2.4030645434255202,2.808044595372783,2.123040093360603,4.420932050603682,0.49636992787057255,0.6441460104461831,3.2843664580141194,0.006907463679305831,9569,4102
ideal_empty,0.0,CNN,2.3636575213155844,2.7402307961472454,2.090214646500196,4.350731145516179,0.5252800633646658,0.6562900220874346,0.638729833997786,0.0002258451993117197,9569,4102
ideal_empty,0.02,KNN,2.5466614262629075,3.007241831230809,2.202271554554524,4.826903759493528,0.42395286682701383,0.5903114245597926,0.0024009580083657056,0.0014448946841135585,9569,4102
ideal_empty,0.02,WKNN,2.5770774547464272,3.040306801300377,2.2476553483713007,4.814832190108399,0.40926137530955853,0.5831901178113859,0.002003666013479233,0.002348549484487792,9569,4102
ideal_empty,0.02,RandomForest,2.4534311409156486,2.8739271143835428,2.1560255992963047,4.566715245442409,0.463566925763247,0.6360676584521185,0.8878347910067532,0.008808396393269744,9569,4102
ideal_empty,0.02,LightGBM,2.4111480575934645,2.8112294982716426,2.1399161734234733,4.452653091973987,0.4932368949887894,0.6453108873989537,3.287513499992201,0.008404325210929339,9569,4102
ideal_empty,0.02,CNN,2.368156554062582,2.748760928405735,2.0926665055071414,4.331644472209707,0.518096366055175,0.6583334679038786,0.6395260830176994,0.0003929280834081789,9569,4102
ideal_empty,0.05,KNN,2.5493747920426637,3.0000102327853666,2.220360331117452,4.870164118610955,0.4308937895661802,0.588142118258399,0.0025156250048894435,0.001397204780004381,9569,4102
ideal_empty,0.05,WKNN,2.579384258847756,3.035054404100525,2.2601349000606232,4.837392443148907,0.41493912416074896,0.5810224060313148,0.001970874989638105,0.0013926743026500407,9569,4102
ideal_empty,0.05,RandomForest,2.4633086935750574,2.876744525146899,2.165883977345284,4.592637074233483,0.4649686650610031,0.6329211743464692,1.0256177500123158,0.008709298389787169,9569,4102
ideal_empty,0.05,LightGBM,2.4227516749439246,2.815035026373185,2.161225419663824,4.444101839404377,0.4930751735088722,0.6431493366573512,3.5445345420157537,0.007679160648134098,9569,4102
ideal_empty,0.05,CNN,2.3691214969266228,2.7470671693008,2.097215021906587,4.325106027134829,0.5208899019192845,0.6565737896435454,0.6362215840199497,0.00020823184066365356,9569,4102
ideal_empty,0.1,KNN,2.5735569444963957,3.0265425705532767,2.247220505424423,4.867939287206934,0.421978298158622,0.579639870460073,0.002106083993567154,0.003251259630718071,9569,4102
ideal_empty,0.1,WKNN,2.609966167128956,3.069930087302297,2.292518407692005,4.845316451362211,0.4042662598383786,0.5685128677433499,0.006671292008832097,0.001355852756462174,9569,4102
ideal_empty,0.1,RandomForest,2.483242427239176,2.89445229690835,2.187588224437003,4.58322409453984,0.46084102076232036,0.6259304389409663,0.9027913329773583,0.008905391754974852,9569,4102
ideal_empty,0.1,LightGBM,2.427620123043871,2.8201389560614123,2.1527972509365036,4.476093295096079,0.49749847355992327,0.6356456990271098,3.338975250022486,0.007110433934811777,9569,4102
